date,CRB指数,VIX恐慌指数,上证指数,标普高盛商品指数GSCI,波罗的海干散货运价指数,标普500,英国EPU,OVX原油ETF波动率指数,南华综合指数,原油期货交易量,原油期货持仓量,关注指数,中国沿海散货运价指数,中国EPU,俄罗斯EPU,加拿大EPU,中国原油进口金额,日本EPU,美国EPU,全球EPU,open,high,low,settle_price,Bias,CDP,DMA,AR,BR,pctChg,night,RV_V,RV,原油期货收盘价
2018-04-10,197.11,20.47,3190.32,461.1467,974.0,2656.9,284.53,28.05,1345.33,61690,8992,0.2408444724558768,1030.68,241.739357,332.2618408203125,303.5407479468499,1183.9161,87.15630196539999,139.0353698730469,167.610964332666,404.2,415.1,403.8,410.1,0.0152720487134157,401.45,-5.78999999999996,2325.000000000135,16.494845360825,2.783992045737005,1.899999999999977,19301.28667213666,0.3527096183036869,413.5
2018-04-11,198.83,20.24,3208.08,466.7248,979.0,2642.2,319.48,29.42,1339.3,66434,12462,0.2204613099131921,1030.68,241.739357,332.2618408203125,303.5407479468499,1183.9161,87.15630196539999,139.0353698730469,167.610964332666,415.0,421.8,414.1,418.2,0.0252257557911267,411.475,-4.33999999999997,311.1111111111202,108.1081081081085,1.039903264812581,1.5,20142.10046643597,0.3598181989077305,417.8
2018-04-12,199.3,18.49,3180.16,466.8654,993.0,2664.0,127.49,28.73,1333.51,110076,14474,0.2012135397978803,1030.68,241.739357,332.2618408203125,303.5407479468499,1183.9161,87.15630196539999,139.0353698730469,167.610964332666,421.0,429.9,416.9,424.4,0.0386180831475919,417.875,0.4299999999998931,187.8048780487792,10.16949152542362,2.608903781713723,3.199999999999989,34577.6923926395,0.2157885467153769,428.7
2018-04-13,199.7,17.41,3159.05,468.3058,1014.0,2656.3,464.73,28.52,1338.8,63092,13480,0.1916128656298426,989.45,241.739357,332.2618408203125,303.5407479468499,1183.9161,87.15630196539999,139.0353698730469,167.610964332666,425.3,428.7,423.3,426.1,0.0218733547121046,426.05,3.869999999999891,84.99999999999943,45.94594594594578,-0.396547702355953,-3.39999999999997,33496.81577105501,0.2224923375411016,427.0
2018-04-16,199.55,16.56,3110.65,464.5093,1025.0,2677.8,305.74,28.84,1323.66,65284,13494,0.2270243414294027,989.45,241.739357,332.2618408203125,303.5407479468499,1183.9161,87.15630196539999,139.0353698730469,167.610964332666,427.7,431.0,423.5,427.9,0.0050203656341762,426.5,6.819999999999993,-78.571428571429,733.3333333333544,-0.608899297423892,0.6999999999999886,20632.9021031943,0.2516805750628738,424.4
2018-04-17,199.38,15.25,3066.8,464.8517,1052.0,2706.4,285.21,27.88,1330.94,55000,13002,0.2501901776354336,989.45,241.739357,332.2618408203125,303.5407479468499,1183.9161,87.15630196539999,139.0353698730469,167.610964332666,426.0,427.4,421.5,425.1,0.0055051051616243,425.825,8.889999999999986,31.11111111111061,0.0,0.706880301602264,1.600000000000023,21761.29966706951,0.2030446429777678,427.4
2018-04-18,202.97,15.6,3091.4,474.7754,1124.0,2708.6,286.16,29.42,1343.39,80338,14628,0.2464149224868353,989.45,241.739357,332.2618408203125,303.5407479468499,1183.9161,87.15630196539999,139.0353698730469,167.610964332666,422.8,431.4,420.6,425.4,0.0052872917836422,425.925,9.959999999999924,313.6363636363642,18.68131868131863,0.5381375760411755,-4.59999999999996,21764.23855778097,0.2003366626203103,429.7
2018-04-19,201.86,15.96,3117.38,474.0286,1201.0,2693.1,339.49,29.36,1369.89,84716,15928,0.2161178821102997,989.45,241.739357,332.2618408203125,303.5407479468499,1183.9161,87.15630196539999,139.0353698730469,167.610964332666,435.0,444.0,432.5,437.8,0.0250802661579266,427.85,8.53000000000003,224.0000000000009,41.97530864197491,2.536653479171513,5.300000000000011,12428.82778060745,0.1958890735522423,440.6
2018-04-20,201.92,16.88,3071.54,473.7708,1281.0,2670.1,253.07,28.99,1350.53,68430,15616,0.1793719745204854,1058.65,241.739357,332.2618408203125,303.5407479468499,1183.9161,87.15630196539999,139.0353698730469,167.610964332666,441.0,443.0,435.0,440.0,0.0119957389653096,439.425,6.980000000000018,-66.6666666666666,300.0,-0.817067635043122,0.3999999999999773,11940.48670699816,0.210504344581056,437.0
2018-04-23,200.73,16.34,3068.01,473.5233,1306.0,2670.3,189.91,28.97,1368.49,70338,15986,0.2225239390993601,1058.65,241.739357,332.2618408203125,303.5407479468499,1183.9161,87.15630196539999,139.0353698730469,167.610964332666,435.0,441.0,432.0,436.0,0.0116337885685383,438.0,6.329999999999927,166.6666666666667,12.5,0.6864988558352492,-2.0,11569.88015495405,0.1877339622630456,440.0
2018-04-24,200.08,18.02,3128.93,470.4167,1330.0,2634.6,171.86,29.15,1362.86,91590,18324,0.2092653841367736,1058.65,241.739357,332.2618408203125,303.5407479468499,1183.9161,87.15630196539999,139.0353698730469,167.610964332666,434.2,449.2,432.2,440.9,0.0190923175066072,438.25,6.929999999999893,655.0000000000011,12.58278145695347,1.65909090909091,-5.80000000000001,9742.846031832776,0.1987442988776442,447.3
2018-04-25,200.69,17.84,3117.97,471.9954,1376.0,2639.4,232.21,28.16,1363.24,98992,16184,0.2227597845875166,1058.65,241.739357,332.2618408203125,303.5407479468499,1183.9161,87.15630196539999,139.0353698730469,167.610964332666,447.0,448.9,436.6,443.2,-0.00585591720005456,444.0,6.569999999999993,-86.5384615384617,778.5714285714396,-2.07914151576124,-0.300000000000011,13275.10350995425,0.2949228981324677,438.0
2018-04-26,201.22,16.24,3075.03,473.5333,1375.0,2666.9,80.75,26.86,1357.89,109256,16286,0.185810629333586,1058.65,241.739357,332.2618408203125,303.5407479468499,1183.9161,87.15630196539999,139.0353698730469,167.610964332666,437.1,444.9,434.4,439.4,0.0014974815083723,440.375,5.459999999999923,159.2592592592549,50.0,0.7762557077625409,-0.899999999999977,17889.04830336147,0.236185791266269,441.4
